"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2014/5","MATH08058","Calculus and its Applications",2,19,"G","Fail","8c294688"
"2014/5","MATH08059","Proofs and Problem Solving",1,31,"E","Fail","8c294688"
"2014/5","MATH08059","Proofs and Problem Solving",2,33,"E","Fail","8c294688"
"2015/6","MATH08057","Introduction to Linear Algebra",1,42,"D","3rd","8c294688"
"2015/6","MATH08058","Calculus and its Applications",1,53,"C","2.2","8c294688"
"2015/6","MATH08059","Proofs and Problem Solving",1,50,"C","2.2","8c294688"
"2016/7","MATH08063","Several Variable Calculus and Differential Equations",1,4,"H","Fail","8c294688"
"2016/7","MATH08064","Fundamentals of Pure Mathematics",1,0,"AN","AN","8c294688"
"2016/7","MATH08066","Probability",1,31,"E","Fail","8c294688"
"2016/7","MATH08067","Probability with Applications",1,0,"AN","AN","8c294688"
"2016/7","MATH08068","Facets of Mathematics",1,14,"G","Fail","8c294688"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,48,"D","3rd","c16849c1"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,42,"FF","FF","c16849c1"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,51,"C","2.2","c16849c1"
"2015/6","MATH08072","Mathematics for the Natural Sciences 1a",1,56,"C","2.2","8b36812c"
"2015/6","MATH08073","Mathematics for the Natural Sciences 1b",1,31,"E","Fail","8b36812c"
"2015/6","MATH08073","Mathematics for the Natural Sciences 1b",2,42,"D","3rd","8b36812c"
"2014/5","MATH08057","Introduction to Linear Algebra",1,86,"A2","1st","744d2c8a"
"2014/5","MATH08058","Calculus and its Applications",1,87,"A2","1st","744d2c8a"
"2015/6","MATH08067","Probability with Applications",1,77,"A3","1st","744d2c8a"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,41,"FF","FF","4ba6b478"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",2,54,"C","2.2","4ba6b478"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,25,"F","Fail","4ba6b478"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,33,"E","Fail","4ba6b478"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",1,11,"G","Fail","4ba6b478"
"2015/6","MATH08061","Mathematics for Science and Engineering 1b",2,40,"D","3rd","4ba6b478"
"2015/6","MATH08057","Introduction to Linear Algebra",1,66,"B","2.1","341b62ab"
"2015/6","MATH08058","Calculus and its Applications",1,63,"B","2.1","341b62ab"
"2015/6","MATH08059","Proofs and Problem Solving",1,59,"C","2.2","341b62ab"
"2016/7","MATH08051","Statistics (Year 2)",1,62,"B","2.1","341b62ab"
"2016/7","MATH08063","Several Variable Calculus and Differential Equations",1,65,"B","2.1","341b62ab"
"2016/7","MATH08064","Fundamentals of Pure Mathematics",2,63,"B","2.1","341b62ab"
"2016/7","MATH08065","Computing and Numerics",1,69,"B","2.1","341b62ab"
"2016/7","MATH08066","Probability",1,52,"C","2.2","341b62ab"
"2016/7","MATH08068","Facets of Mathematics",1,66,"B","2.1","341b62ab"
"2014/5","MATH08057","Introduction to Linear Algebra",1,60,"B","2.1","8dab3181"
"2015/6","MATH08067","Probability with Applications",1,45,"FF","FF","8dab3181"
"2015/6","MATH08067","Probability with Applications",2,69,"B","2.1","8dab3181"
"2014/5","MATH08057","Introduction to Linear Algebra",1,56,"C","2.2","d32893a3"
"2014/5","MATH08058","Calculus and its Applications",1,50,"C","2.2","d32893a3"
"2015/6","MATH08067","Probability with Applications",1,51,"C","2.2","d32893a3"
"2014/5","MATH08062","Accelerated Algebra and Calculus for Direct Entry",1,75,"A3","1st","f6ec232f"
"2014/5","MATH08063","Several Variable Calculus and Differential Equations",1,51,"C","2.2","f6ec232f"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",1,38,"E","Fail","f6ec232f"
"2014/5","MATH08064","Fundamentals of Pure Mathematics",2,37,"E","Fail","f6ec232f"
